,IGD,RUN,CONFIG,ALGORITHM,PROBLEM
78,0.4801425807193977,19,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
79,0.6627775453270007,20,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
80,0.6246722429334014,21,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
81,0.822696002322682,22,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
82,1.0750152308104202,23,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
83,1.0861796922285476,24,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
84,0.5515285437203681,25,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
85,0.9471080787169076,26,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
86,0.7813122512981142,27,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
87,0.7625062440718304,28,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
88,0.5434706626556775,29,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
89,1.1678241374535074,30,"r=0.3, c=7 / m=0.1, v=1",IVF/SPEA2,ZDT4
90,0.7947985234990855,1,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
91,0.8408833539070073,2,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
92,1.136967525365873,3,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
93,0.8553212612736745,4,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
94,0.3123057783330433,5,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
95,0.4467081251035399,6,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
96,0.5064407183515169,7,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
97,0.743294555320132,8,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
98,0.3473754409486839,9,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
99,0.7243704363510081,10,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
100,1.246631843311803,11,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
101,0.7691894885111418,12,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
102,1.079499027635716,13,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
103,0.8317844947439943,14,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
104,1.036526765044171,15,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
105,0.3819223320245081,16,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
106,0.4537946552248411,17,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
107,0.8595414116902862,18,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
108,1.0140306836363169,19,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
109,0.3507347092376802,20,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
110,0.5124231423597858,21,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
111,0.459834454424201,22,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
112,0.9599923416738656,23,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
113,0.2825383667829317,24,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
114,0.7887895157136973,25,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
115,0.4553183416318008,26,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
116,1.1541984391052242,27,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
117,0.9055572058582464,28,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
118,0.1690464685765603,29,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
119,0.3815285892556439,30,"r=0.3, c=7 / m=0.3, v=0.3",IVF/SPEA2,ZDT4
120,0.2715547104433914,1,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
121,0.9382279016251164,2,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
122,0.2080103858457699,3,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
123,0.7216269920327634,4,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
124,0.4214472232145581,5,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
125,0.6536682320220225,6,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
126,1.0718095470815272,7,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
127,0.5458264488437825,8,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
128,1.1259201380671648,9,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
129,0.6456272934622976,10,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
130,0.8636091373199594,11,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
131,0.3177194376464669,12,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
132,0.5925795474103545,13,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
133,0.6952976394207709,14,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
134,0.9484791063850984,15,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
135,1.0331632386356344,16,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
136,0.5477902706845506,17,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
137,0.4166070389617447,18,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
138,0.7633126354358013,19,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
139,0.474426444770226,20,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
140,1.1462056542171046,21,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
141,1.0045248979935328,22,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
142,0.3838272049284647,23,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
143,0.7962825907071085,24,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
144,0.6534671111498364,25,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
145,0.7509272841925696,26,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
146,0.9231672278761384,27,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
147,0.5420893772718717,28,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
148,0.9848869897455516,29,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
149,1.3052719871458058,30,"r=0.3, c=7 / m=0.3, v=0.5",IVF/SPEA2,ZDT4
150,0.7883194100282157,1,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
151,1.2046359557474495,2,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
152,0.6821587581654477,3,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
153,0.4859463611818431,4,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
154,0.7095133671259327,5,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
155,1.0714809137225203,6,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
156,1.073394116214201,7,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
157,0.92854009117149,8,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
158,0.4212949758963839,9,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
159,0.5281980850500332,10,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
160,0.339777550095396,11,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
161,0.8466684587693406,12,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
162,0.858414128729928,13,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
163,0.8579391496483278,14,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
164,0.5103081572658078,15,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
165,0.4049182107136021,16,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
166,0.5289223828218644,17,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
167,0.6867472310268111,18,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
168,0.2899509307644814,19,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
169,0.71905174457005,20,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
170,0.6155433508906547,21,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
171,0.923632145468693,22,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
172,0.2602832576773266,23,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
173,0.6673889251530144,24,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
174,0.6223601470755824,25,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
175,0.9818968163298252,26,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
176,0.3481181194913295,27,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
177,0.2224750472376064,28,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
178,0.4531480606308519,29,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
179,0.1881918548179773,30,"r=0.3, c=7 / m=0.3, v=1",IVF/SPEA2,ZDT4
180,0.4949358665545717,1,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
181,0.5614829919587545,2,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
182,0.545084250525911,3,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
183,0.2584217663469119,4,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
184,0.6883273154639054,5,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
185,0.924023707802306,6,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
186,1.3568709280485702,7,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
187,0.4219718096029804,8,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
188,0.3537463507551498,9,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
189,0.5836195180585366,10,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
190,0.4924906167009528,11,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
191,0.0903057983676557,12,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
192,0.372978624345806,13,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
193,0.3453765098438071,14,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
194,0.7706405754282862,15,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
195,0.4217956635143127,16,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
196,0.4822640601319989,17,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
197,1.1869358140234616,18,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
198,0.9405593057045902,19,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
199,0.3010637699717553,20,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
200,0.7540966620305746,21,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
201,0.5087974437240373,22,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
202,0.657898085453822,23,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
203,0.9420318456875174,24,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
204,0.8357992949201035,25,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
205,0.6786875389009093,26,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
206,0.9003015623791651,27,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
207,0.570970415224452,28,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
208,0.9399952187940154,29,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
209,1.2766050469531067,30,"r=0.3, c=7 / m=0.5, v=0.3",IVF/SPEA2,ZDT4
210,0.6382177900294487,1,"r=0.3, c=7 / m=0.5, v=0.5",IVF/SPEA2,ZDT4
